"contractYear","tokenPool","usageCategory","usageDate","productLineCode","productName","tokensConsumed",
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",105.0,
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-02 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",21.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"EGLPRM","EAGLE - Premium",162.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"F360PRO","Fusion 360 - Ultimate",122.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"EGLPRM","EAGLE - Premium",40.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"F360PRO","Fusion 360 - Ultimate",128.0,
1,"CY","CLOUD_PRODUCT",2011-01-06 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-06 00:00:00,"EGLPRM","EAGLE - Premium",22.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",44.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"EGLPRM","EAGLE - Premium",238.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"F360PRO","Fusion 360 - Ultimate",108.0,
1,"CY","CLOUD_PRODUCT",2011-01-08 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-08 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-09 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-09 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-09 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-10 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",122.0,
1,"CY","CLOUD_PRODUCT",2011-01-10 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-10 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-11 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",40.0,
1,"CY","CLOUD_PRODUCT",2011-01-11 00:00:00,"EGLPRM","EAGLE - Premium",126.0,
1,"CY","CLOUD_PRODUCT",2011-01-11 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-12 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-12 00:00:00,"EGLPRM","EAGLE - Premium",95.0,
1,"CY","CLOUD_PRODUCT",2011-01-12 00:00:00,"F360PRO","Fusion 360 - Ultimate",48.0,
1,"CY","CLOUD_PRODUCT",2011-01-13 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-13 00:00:00,"EGLPRM","EAGLE - Premium",267.0,
1,"CY","CLOUD_PRODUCT",2011-01-13 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-14 00:00:00,"COLLRVT","Autodesk Collaboration for Revit - Single User",96.0,
1,"CY","CLOUD_PRODUCT",2011-01-14 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-14 00:00:00,"F360PRO","Fusion 360 - Ultimate",251.0,
