"contractYear","tokenPool","usageCategory","usageDate","productLineCode","productName","tokensConsumed",
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"F360PRO","Fusion 360 - Ultimate",45.0,
1,"CY","CLOUD_PRODUCT",2011-01-01 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-02 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-02 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"EGLPRM","EAGLE - Premium",20.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-03 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"EGLPRM","EAGLE - Premium",119.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-04 00:00:00,"IW360P","InfraWorks",144.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"EGLPRM","EAGLE - Premium",105.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-05 00:00:00,"IW360P","InfraWorks",355.0,
1,"CY","CLOUD_PRODUCT",2011-01-06 00:00:00,"EGLPRM","EAGLE - Premium",76.0,
1,"CY","CLOUD_PRODUCT",2011-01-06 00:00:00,"F360PRO","Fusion 360 - Ultimate",99.0,
1,"CY","CLOUD_PRODUCT",2011-01-06 00:00:00,"IW360P","InfraWorks",133.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"EGLPRM","EAGLE - Premium",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-07 00:00:00,"IW360P","InfraWorks",9.0,
1,"CY","CLOUD_PRODUCT",2011-01-08 00:00:00,"EGLPRM","EAGLE - Premium",110.0,
1,"CY","CLOUD_PRODUCT",2011-01-08 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-08 00:00:00,"IW360P","InfraWorks",0.0,
1,"CY","CLOUD_PRODUCT",2011-01-09 00:00:00,"F360PRO","Fusion 360 - Ultimate",0.0,
